"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner1_id","winner2_id","winner_entry","loser1_id","loser2_id","loser_entry","score","best_of","round","winner1_name","winner1_hand","winner1_ioc","winner1_age","winner2_name","winner2_hand","winner2_ioc","winner2_age","loser1_name","loser1_hand","loser1_ioc","loser1_age","loser2_name","loser2_hand","loser2_ioc","loser2_age","winner1_rank","winner1_rank_points","winner2_rank","winner2_rank_points","loser1_rank","loser1_rank_points","loser2_rank","loser2_rank_points","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","w_1st_Per","l_1st_Per","w_first_won_per","l_first_won_per","w_per_pair_mean_age","l_per_pair_mean_age","w_age_diff","l_age_diff"
"31","2019-0891","Pune","Hard",32,"A",2018-12-31,268,103523,104690,"",104620,104471,"","6-3 3-6 (15-13)",3,"SF","Rohan Bopanna","R","IND",38.82546201,"Divij Sharan","L","IND",32.83230664,"Simone Bolelli","R","ITA",33.229295,"Ivan Dodig","R","CRO",33.99315537,37,2115,39,2060,97,868,35,2180,3,4,67,40,30,13,9,5,6,6,2,62,40,30,11,9,1,2,59.7014925373134,64.5161290322581,75,75,35.828884325,33.611225185,5.99315537,0.763860369999996
"32","2019-0891","Pune","Hard",32,"A",2018-12-31,267,106382,110779,"",105283,104719,"","6-4 3-6 (10-6)",3,"SF","Luke Bambridge","R","GBR",23.94250513,"Jonny Omara","R","GBR",23.8329911,"Gerard Granollers","R","ESP",29.91649555,"Marcel Granollers","R","ESP",32.72005476,56,1417,62,1309,92,905,25,2778,2,5,60,35,28,10,9,3,5,3,2,69,43,26,12,10,7,9,58.3333333333333,62.3188405797101,80,60.4651162790698,23.887748115,31.318275155,0.10951403,2.80355921
"33","2019-0891","Pune","Hard",32,"A",2018-12-31,266,103523,104690,"",102233,104960,"","6-7(4) 6-4 (17-15)",3,"QF","Rohan Bopanna","R","IND",38.82546201,"Divij Sharan","L","IND",32.83230664,"Leander Paes","R","IND",45.53867214,"Miguel Angel Reyes Varela","R","MEX",31.52908966,37,2115,39,2060,63,1305,57,1402,7,1,82,62,47,7,11,8,10,3,0,83,61,41,11,11,7,10,75.609756097561,73.4939759036145,75.8064516129032,67.2131147540984,35.828884325,38.5338809,5.99315537,14.00958248
"34","2019-0891","Pune","Hard",32,"A",2018-12-31,265,104620,104471,"",105906,105617,"","6-2 6-4",3,"QF","Simone Bolelli","R","ITA",33.229295,"Ivan Dodig","R","CRO",33.99315537,"Kevin Krawietz","R","GER",26.93497604,"Andreas Mies","U","GER",28.3613963,97,868,35,2180,71,1176,73,1169,4,0,45,32,27,9,9,0,0,0,5,46,30,20,9,9,4,7,71.1111111111111,65.2173913043478,84.375,66.6666666666667,33.611225185,27.64818617,0.763860369999996,1.42642026
"35","2019-0891","Pune","Hard",32,"A",2018-12-31,264,105283,104719,"",104920,103938,"","6-4 6-7(3) (10-6)",3,"QF","Gerard Granollers","R","ESP",29.91649555,"Marcel Granollers","R","ESP",32.72005476,"Denys Molchanov","R","UKR",31.62765229,"Igor Zelenay","R","SVK",36.88706366,92,905,25,2778,67,1234,68,1230,2,1,70,54,44,8,11,2,3,6,2,70,49,37,14,11,5,7,77.1428571428572,70,81.4814814814815,75.5102040816327,31.318275155,34.257357975,2.80355921,5.25941137
"36","2019-0891","Pune","Hard",32,"A",2018-12-31,263,106382,110779,"",105502,111459,"WC","7-6(5) 6-1",3,"QF","Luke Bambridge","R","GBR",23.94250513,"Jonny Omara","R","GBR",23.8329911,"N Sriram Balaji","R","IND",28.78850103,"Arjun Kadhe","R","IND",24.98015058,56,1417,62,1309,110,758,209,310,2,1,64,37,26,17,10,1,2,1,1,56,42,26,7,9,4,7,57.8125,75,70.2702702702703,61.9047619047619,23.887748115,26.884325805,0.10951403,3.80835045
"37","2019-0891","Pune","Hard",32,"A",2018-12-31,262,103523,104690,"",105430,104291,"","6-1 6-2",3,"R32","Rohan Bopanna","R","IND",38.82546201,"Divij Sharan","L","IND",32.83230664,"Radu Albot","R","MDA",29.13620808,"Malek Jaziri","R","TUN",34.94592745,37,2115,39,2060,66,1245,99,855,4,1,43,31,27,5,8,4,4,0,1,43,30,13,7,7,4,8,72.0930232558139,69.7674418604651,87.0967741935484,43.3333333333333,35.828884325,32.041067765,5.99315537,5.80971937
"38","2019-0891","Pune","Hard",32,"A",2018-12-31,261,102233,104960,"",103543,105070,"","6-3 6-4",3,"R32","Leander Paes","R","IND",45.53867214,"Miguel Angel Reyes Varela","R","MEX",31.52908966,"David Marrero","R","ESP",38.72963723,"Hans Podlipnik Castillo","R","CHI",30.97604381,63,1305,57,1402,64,1279,69,1202,2,0,56,43,31,9,10,0,0,1,1,51,38,24,6,9,6,8,76.7857142857143,74.5098039215686,72.0930232558139,63.1578947368421,38.5338809,34.85284052,14.00958248,7.75359342
"39","2019-0891","Pune","Hard",32,"A",2018-12-31,260,104620,104471,"",105656,103859,"","4-6 7-5 (10-7)",3,"R32","Simone Bolelli","R","ITA",33.229295,"Ivan Dodig","R","CRO",33.99315537,"Marcelo Arevalo","R","ESA",28.20533881,"James Cerretani","L","USA",37.24572211,97,868,35,2180,54,1441,61,1325,3,2,72,51,33,13,11,4,6,4,2,71,54,35,9,11,4,6,70.8333333333333,76.056338028169,64.7058823529412,64.8148148148148,33.611225185,32.72553046,0.763860369999996,9.0403833
"40","2019-0891","Pune","Hard",32,"A",2018-12-31,259,105906,105617,"",128034,105332,"","7-5 6-3",3,"R32","Kevin Krawietz","R","GER",26.93497604,"Andreas Mies","U","GER",28.3613963,"Hubert Hurkacz","R","POL",21.88364134,"Benoit Paire","R","FRA",29.64818617,71,1176,73,1169,437,48,137,555,1,1,66,41,33,11,11,3,3,1,1,60,37,22,14,10,8,10,62.1212121212121,61.6666666666667,80.4878048780488,59.4594594594595,27.64818617,25.765913755,1.42642026,7.76454483
"41","2019-0891","Pune","Hard",32,"A",2018-12-31,258,104920,103938,"",104665,106148,"","6-1 6-4",3,"R32","Denys Molchanov","R","UKR",31.62765229,"Igor Zelenay","R","SVK",36.88706366,"Pablo Andujar","R","ESP",32.93634497,"Roberto Carballes Baena","R","ESP",25.77412731,67,1234,68,1230,267,180,276,180,2,2,45,31,24,10,9,2,3,0,4,45,26,14,10,8,3,7,68.8888888888889,57.7777777777778,77.4193548387097,53.8461538461538,34.257357975,29.35523614,5.25941137,7.16221766
"42","2019-0891","Pune","Hard",32,"A",2018-12-31,257,105283,104719,"",103977,105233,"","6-4 6-4",3,"R32","Gerard Granollers","R","ESP",29.91649555,"Marcel Granollers","R","ESP",32.72005476,"Nicholas Monroe","R","USA",36.72005476,"Jeevan Nedunchezhiyan","L","IND",30.19575633,92,905,25,2778,65,1260,74,1162,5,3,54,35,26,10,10,1,2,1,2,60,41,29,8,10,5,8,64.8148148148148,68.3333333333333,74.2857142857143,70.7317073170732,31.318275155,33.457905545,2.80355921,6.52429843
"43","2019-0891","Pune","Hard",32,"A",2018-12-31,256,106382,110779,"",104646,106368,"WC","7-6(4) 6-3",3,"R32","Luke Bambridge","R","GBR",23.94250513,"Jonny Omara","R","GBR",23.8329911,"Purav Raja","R","IND",33.06502396,"Ramkumar Ramanathan","R","IND",24.14510609,56,1417,62,1309,90,924,233,242,2,0,68,41,31,15,11,4,5,4,4,56,37,27,12,10,0,2,60.2941176470588,66.0714285714286,75.609756097561,72.972972972973,23.887748115,28.605065025,0.10951403,8.91991787
"44","2019-0891","Pune","Hard",32,"A",2018-12-31,255,105502,111459,"WC",104667,105047,"","7-6(1) 4-6 (10-8)",3,"R32","N Sriram Balaji","R","IND",28.78850103,"Arjun Kadhe","R","IND",24.98015058,"Philipp Oswald","R","AUT",32.93634497,"Tim Puetz","R","GER",31.1156742,110,758,209,310,52,1475,60,1346,6,2,72,49,42,10,11,3,5,3,3,73,46,35,15,11,0,1,68.0555555555556,63.013698630137,85.7142857142857,76.0869565217391,26.884325805,32.026009585,3.80835045,1.82067077
"45","2019-0301","Auckland","Hard",32,"A",2019-01-07,269,110758,105526,"",104071,105030,"","6-3 6-4",3,"F","Ben Mclachlan","R","NZL",26.66119097,"Jan Lennard Struff","R","GER",28.70362765,"Raven Klaasen","R","RSA",36.22724162,"Michael Venus","R","NZL",31.22792608,18,3300,22,3080,15,4320,15,4320,5,1,46,32,25,9,9,0,1,1,3,53,30,21,11,10,5,9,69.5652173913043,56.6037735849057,78.125,70,27.68240931,33.72758385,2.04243668,4.99931554
"46","2019-0301","Auckland","Hard",32,"A",2019-01-07,268,110758,105526,"",103594,106207,"","6-4 6-7(6) (11-9)",3,"SF","Ben Mclachlan","R","NZL",26.66119097,"Jan Lennard Struff","R","GER",28.70362765,"Oliver Marach","R","AUT",38.47775496,"Mate Pavic","L","CRO",25.51129363,18,3300,22,3080,4,7200,3,7250,7,1,79,53,40,15,11,6,7,3,8,80,57,44,10,11,5,7,67.0886075949367,71.25,75.4716981132076,77.1929824561403,27.68240931,31.994524295,2.04243668,12.96646133
